id,value,feed_id,created_at,lat,lon,ele
0EQMXWSP667CPBFZWRTZCNC6XQ,1,1619351,2021-05-09 20:18:08 UTC,,,
0EQMXX5E5XEFG7276PDNP91CCN,1,1619351,2021-05-09 20:18:47 UTC,,,
